total_bill,tip,gender,smoker,day,time,size,predict,diff,predicted_tip,prediction_error
16.31,2,Male,No,Sat,Dinner,3,2.41,0.41000000000000014,2.41,0.41000000000000014
16.93,3.07,Female,No,Sat,Dinner,3,2.51,0.56,2.51,0.56
18.69,2.31,Male,No,Sat,Dinner,3,2.8,0.48999999999999977,2.8,0.48999999999999977
31.27,5,Male,No,Sat,Dinner,3,4.86,0.13999999999999968,4.86,0.13999999999999968
16.04,2.24,Male,No,Sat,Dinner,3,2.36,0.11999999999999966,2.36,0.11999999999999966
17.46,2.54,Male,No,Sun,Dinner,2,2.96,0.41999999999999993,2.96,0.41999999999999993
13.94,3.06,Male,No,Sun,Dinner,2,2.61,0.4500000000000002,2.61,0.4500000000000002
9.68,1.32,Male,No,Sun,Dinner,2,2.19,0.8699999999999999,2.19,0.8699999999999999
30.4,5.6,Male,No,Sun,Dinner,4,4.26,1.3399999999999999,4.26,1.3399999999999999
18.29,3,Male,No,Sun,Dinner,2,3.05,0.04999999999999982,3.05,0.04999999999999982
22.23,5,Male,No,Sun,Dinner,2,3.44,1.56,3.44,1.56
32.4,6,Male,No,Sun,Dinner,4,4.45,1.5499999999999998,4.45,1.5499999999999998
28.55,2.05,Male,No,Sun,Dinner,3,4.07,2.0200000000000005,4.07,2.0200000000000005
18.04,3,Male,No,Sun,Dinner,2,3.02,0.020000000000000018,3.02,0.020000000000000018
12.54,2.5,Male,No,Sun,Dinner,2,2.47,0.029999999999999805,2.47,0.029999999999999805
10.29,2.6,Female,No,Sun,Dinner,2,2.25,0.3500000000000001,2.25,0.3500000000000001
34.81,5.2,Female,No,Sun,Dinner,4,4.7,0.5,4.7,0.5
9.94,1.56,Male,No,Sun,Dinner,2,2.21,0.6499999999999999,2.21,0.6499999999999999
25.56,4.34,Male,No,Sun,Dinner,4,3.77,0.5699999999999998,3.77,0.5699999999999998
19.49,3.51,Male,No,Sun,Dinner,2,3.17,0.33999999999999986,3.17,0.33999999999999986
38.01,3,Male,Yes,Sat,Dinner,4,4.47,1.4699999999999998,4.47,1.4699999999999998
26.41,1.5,Female,No,Sat,Dinner,2,4.06,2.5599999999999996,4.06,2.5599999999999996
11.24,1.76,Male,Yes,Sat,Dinner,2,2.17,0.4099999999999999,2.17,0.4099999999999999
48.27,6.73,Male,No,Sat,Dinner,4,7.64,0.9099999999999993,7.64,0.9099999999999993
20.29,3.21,Male,Yes,Sat,Dinner,2,2.95,0.2599999999999998,2.95,0.2599999999999998
13.81,2,Male,Yes,Sat,Dinner,2,2.39,0.3900000000000001,2.39,0.3900000000000001
11.02,1.98,Male,Yes,Sat,Dinner,2,2.15,0.16999999999999993,2.15,0.16999999999999993
18.29,3.76,Male,Yes,Sat,Dinner,4,2.78,0.98,2.78,0.98
17.59,2.64,Male,No,Sat,Dinner,3,2.62,0.020000000000000018,2.62,0.020000000000000018
20.08,3.15,Male,No,Sat,Dinner,3,3.03,0.1200000000000001,3.03,0.1200000000000001
16.45,2.47,Female,No,Sat,Dinner,2,2.43,0.040000000000000036,2.43,0.040000000000000036
3.07,1,Female,Yes,Sat,Dinner,1,1.47,0.47,1.47,0.47
20.23,2.01,Male,No,Sat,Dinner,2,3.05,1.04,3.05,1.04
15.01,2.09,Male,Yes,Sat,Dinner,2,2.49,0.40000000000000036,2.49,0.40000000000000036
12.02,1.97,Male,No,Sat,Dinner,2,1.71,0.26,1.71,0.26
17.07,3,Female,No,Sat,Dinner,3,2.53,0.4700000000000002,2.53,0.4700000000000002
26.86,3.14,Female,Yes,Sat,Dinner,2,3.51,0.36999999999999966,3.51,0.36999999999999966
25.28,5,Female,Yes,Sat,Dinner,2,3.38,1.62,3.38,1.62
14.73,2.2,Female,No,Sat,Dinner,2,2.15,0.050000000000000266,2.15,0.050000000000000266
10.51,1.25,Male,No,Sat,Dinner,2,1.46,0.20999999999999996,1.46,0.20999999999999996
17.92,3.08,Male,Yes,Sat,Dinner,2,2.74,0.33999999999999986,2.74,0.33999999999999986
27.2,4,Male,No,Thur,Lunch,4,4.21,0.20999999999999996,4.21,0.20999999999999996
22.76,3,Male,No,Thur,Lunch,2,3.54,0.54,3.54,0.54
17.29,2.71,Male,No,Thur,Lunch,2,2.72,0.010000000000000231,2.72,0.010000000000000231
19.44,3,Male,Yes,Thur,Lunch,2,3,0,3,0
16.66,3.4,Male,No,Thur,Lunch,2,2.62,0.7799999999999998,2.62,0.7799999999999998
10.07,1.83,Female,No,Thur,Lunch,1,1.63,0.20000000000000018,1.63,0.20000000000000018
32.68,5,Male,Yes,Thur,Lunch,2,3.97,1.0299999999999998,3.97,1.0299999999999998
15.98,2.03,Male,No,Thur,Lunch,2,2.52,0.4900000000000002,2.52,0.4900000000000002
34.83,5.17,Female,No,Thur,Lunch,4,5.37,0.20000000000000018,5.37,0.20000000000000018
13.03,2,Male,No,Thur,Lunch,2,2.08,0.08000000000000007,2.08,0.08000000000000007
18.28,4,Male,No,Thur,Lunch,2,2.87,1.13,2.87,1.13
24.71,5.85,Male,No,Thur,Lunch,2,3.84,2.01,3.84,2.01
21.16,3,Male,No,Thur,Lunch,2,3.3,0.2999999999999998,3.3,0.2999999999999998
28.97,3,Male,Yes,Fri,Dinner,2,3.81,0.81,3.81,0.81
22.49,3.5,Male,No,Fri,Dinner,2,3.51,0.009999999999999787,3.51,0.009999999999999787
5.75,1,Female,Yes,Fri,Dinner,2,1.71,0.71,1.71,0.71
16.32,4.3,Female,Yes,Fri,Dinner,2,2.67,1.63,2.67,1.63
22.75,3.25,Female,No,Fri,Dinner,2,3.55,0.2999999999999998,3.55,0.2999999999999998
40.17,4.73,Male,Yes,Fri,Dinner,4,4.82,0.08999999999999986,4.82,0.08999999999999986
27.28,4,Male,Yes,Fri,Dinner,2,3.65,0.3500000000000001,3.65,0.3500000000000001
12.03,1.5,Male,Yes,Fri,Dinner,2,2.28,0.7799999999999998,2.28,0.7799999999999998
21.01,3,Male,Yes,Fri,Dinner,2,3.09,0.08999999999999986,3.09,0.08999999999999986
12.46,1.5,Male,No,Fri,Dinner,2,1.82,0.32000000000000006,1.82,0.32000000000000006
11.35,2.5,Female,Yes,Fri,Dinner,2,2.22,0.2799999999999998,2.22,0.2799999999999998
15.38,3,Female,Yes,Fri,Dinner,2,2.58,0.41999999999999993,2.58,0.41999999999999993
44.3,2.5,Female,Yes,Sat,Dinner,3,5.01,2.51,5.01,2.51
22.42,3.48,Female,Yes,Sat,Dinner,2,3.13,0.3500000000000001,3.13,0.3500000000000001
20.92,4.08,Female,No,Sat,Dinner,2,3.16,0.9199999999999999,3.16,0.9199999999999999
15.36,1.64,Male,Yes,Sat,Dinner,2,2.52,0.8800000000000001,2.52,0.8800000000000001
20.49,4.06,Male,Yes,Sat,Dinner,2,2.96,1.0999999999999996,2.96,1.0999999999999996
25.21,4.29,Male,Yes,Sat,Dinner,2,3.37,0.9199999999999999,3.37,0.9199999999999999
18.24,3.76,Male,No,Sat,Dinner,2,2.72,1.0399999999999996,2.72,1.0399999999999996
14.31,4,Female,Yes,Sat,Dinner,2,2.43,1.5699999999999998,2.43,1.5699999999999998
14,3,Male,No,Sat,Dinner,2,2.03,0.9700000000000002,2.03,0.9700000000000002
7.25,1,Female,No,Sat,Dinner,1,0.92,0.07999999999999996,0.92,0.07999999999999996
38.07,4,Male,No,Sun,Dinner,3,5.02,1.0199999999999996,5.02,1.0199999999999996
23.95,2.55,Male,No,Sun,Dinner,2,3.61,1.06,3.61,1.06
25.71,4,Female,No,Sun,Dinner,3,3.79,0.20999999999999996,3.79,0.20999999999999996
17.31,3.5,Female,No,Sun,Dinner,2,2.95,0.5499999999999998,2.95,0.5499999999999998
29.93,5.07,Male,No,Sun,Dinner,4,4.21,0.8600000000000003,4.21,0.8600000000000003
10.65,1.5,Female,No,Thur,Lunch,2,1.72,0.21999999999999997,1.72,0.21999999999999997
12.43,1.8,Female,No,Thur,Lunch,2,1.99,0.18999999999999995,1.99,0.18999999999999995
24.08,2.92,Female,No,Thur,Lunch,4,3.74,0.8200000000000003,3.74,0.8200000000000003
11.69,2.31,Male,No,Thur,Lunch,2,1.87,0.43999999999999995,1.87,0.43999999999999995
13.42,1.68,Female,No,Thur,Lunch,2,2.14,0.4600000000000002,2.14,0.4600000000000002
14.26,2.5,Male,No,Thur,Lunch,2,2.26,0.2400000000000002,2.26,0.2400000000000002
15.95,2,Male,No,Thur,Lunch,2,2.52,0.52,2.52,0.52
12.48,2.52,Female,No,Thur,Lunch,2,1.99,0.53,1.99,0.53
29.8,4.2,Female,No,Thur,Lunch,6,4.61,0.41000000000000014,4.61,0.41000000000000014
8.52,1.48,Male,No,Thur,Lunch,2,1.4,0.08000000000000007,1.4,0.08000000000000007
14.52,2,Female,No,Thur,Lunch,2,2.3,0.2999999999999998,2.3,0.2999999999999998
11.38,2,Female,No,Thur,Lunch,2,1.83,0.16999999999999993,1.83,0.16999999999999993
22.82,2.18,Male,No,Thur,Lunch,3,3.55,1.3699999999999997,3.55,1.3699999999999997
19.08,1.5,Male,No,Thur,Lunch,2,2.99,1.4900000000000002,2.99,1.4900000000000002
20.27,2.83,Female,No,Thur,Lunch,2,3.17,0.33999999999999986,3.17,0.33999999999999986
11.17,1.5,Female,No,Thur,Lunch,2,1.8,0.30000000000000004,1.8,0.30000000000000004
12.26,2,Female,No,Thur,Lunch,2,1.96,0.040000000000000036,1.96,0.040000000000000036
18.26,3.25,Female,No,Thur,Lunch,2,2.87,0.3799999999999999,2.87,0.3799999999999999
8.51,1.25,Female,No,Thur,Lunch,2,1.4,0.1499999999999999,1.4,0.1499999999999999
10.33,2,Female,No,Thur,Lunch,2,1.67,0.33000000000000007,1.67,0.33000000000000007
14.15,2,Female,No,Thur,Lunch,2,2.25,0.25,2.25,0.25
16,2,Male,Yes,Thur,Lunch,2,2.75,0.75,2.75,0.75
13.16,2.75,Female,No,Thur,Lunch,2,2.1,0.6499999999999999,2.1,0.6499999999999999
17.47,3.5,Female,No,Thur,Lunch,2,2.75,0.75,2.75,0.75
34.3,6.7,Male,No,Thur,Lunch,6,5.29,1.4100000000000001,5.29,1.4100000000000001
41.19,5,Male,No,Thur,Lunch,5,6.32,1.3200000000000003,6.32,1.3200000000000003
27.05,5,Female,No,Thur,Lunch,6,4.19,0.8099999999999996,4.19,0.8099999999999996
16.43,2.3,Female,No,Thur,Lunch,2,2.59,0.29000000000000004,2.59,0.29000000000000004
8.35,1.5,Female,No,Thur,Lunch,2,1.37,0.1299999999999999,1.37,0.1299999999999999
18.64,1.36,Female,No,Thur,Lunch,3,2.92,1.5599999999999998,2.92,1.5599999999999998
11.87,1.63,Female,No,Thur,Lunch,2,1.9,0.27,1.9,0.27
9.78,1.73,Male,No,Thur,Lunch,2,1.59,0.1399999999999999,1.59,0.1399999999999999
7.51,2,Male,No,Thur,Lunch,2,1.24,0.76,1.24,0.76
14.07,2.5,Male,No,Sun,Dinner,2,2.62,0.1200000000000001,2.62,0.1200000000000001
13.13,2,Male,No,Sun,Dinner,2,2.53,0.5299999999999998,2.53,0.5299999999999998
17.26,2.74,Male,No,Sun,Dinner,3,2.94,0.19999999999999973,2.94,0.19999999999999973
24.55,2,Male,No,Sun,Dinner,4,3.67,1.67,3.67,1.67
19.77,2,Male,No,Sun,Dinner,4,3.19,1.19,3.19,1.19
29.85,5.14,Female,No,Sun,Dinner,5,4.2,0.9399999999999995,4.2,0.9399999999999995
48.17,5,Male,No,Sun,Dinner,6,6.03,1.0300000000000002,6.03,1.0300000000000002
25,3.75,Female,No,Sun,Dinner,4,3.72,0.029999999999999805,3.72,0.029999999999999805
13.39,2.61,Female,No,Sun,Dinner,2,2.56,0.04999999999999982,2.56,0.04999999999999982
16.49,2,Male,No,Sun,Dinner,4,2.87,0.8700000000000001,2.87,0.8700000000000001
21.5,3.5,Male,No,Sun,Dinner,4,3.37,0.1299999999999999,3.37,0.1299999999999999
12.66,2.5,Male,No,Sun,Dinner,2,2.48,0.020000000000000018,2.48,0.020000000000000018
16.21,2,Female,No,Sun,Dinner,3,2.84,0.8399999999999999,2.84,0.8399999999999999
13.81,2,Male,No,Sun,Dinner,2,2.6,0.6000000000000001,2.6,0.6000000000000001
17.51,3,Female,Yes,Sun,Dinner,2,3.07,0.06999999999999984,3.07,0.06999999999999984
24.52,3.48,Male,No,Sun,Dinner,3,3.67,0.18999999999999995,3.67,0.18999999999999995
20.76,2.24,Male,No,Sun,Dinner,2,3.29,1.0499999999999998,3.29,1.0499999999999998
31.71,4.5,Male,No,Sun,Dinner,4,4.39,0.11000000000000032,4.39,0.11000000000000032
10.59,1.61,Female,Yes,Sat,Dinner,2,2.11,0.4999999999999998,2.11,0.4999999999999998
10.63,2,Female,Yes,Sat,Dinner,2,2.12,0.1200000000000001,2.12,0.1200000000000001
50.81,10,Male,Yes,Sat,Dinner,3,5.57,4.43,5.57,4.43
15.81,3.16,Male,Yes,Sat,Dinner,2,2.56,0.6000000000000001,2.56,0.6000000000000001
7.25,5.15,Male,Yes,Sun,Dinner,2,2.85,2.3000000000000003,2.85,2.3000000000000003
31.85,3.18,Male,Yes,Sun,Dinner,2,3.39,0.20999999999999996,3.39,0.20999999999999996
16.82,4,Male,Yes,Sun,Dinner,2,3.06,0.94,3.06,0.94
32.9,3.11,Male,Yes,Sun,Dinner,2,3.41,0.30000000000000027,3.41,0.30000000000000027
17.89,2,Male,Yes,Sun,Dinner,2,3.08,1.08,3.08,1.08
14.48,2,Male,Yes,Sun,Dinner,2,3.01,1.0099999999999998,3.01,1.0099999999999998
9.6,4,Female,Yes,Sun,Dinner,2,2.9,1.1,2.9,1.1
34.63,3.55,Male,Yes,Sun,Dinner,2,3.45,0.09999999999999964,3.45,0.09999999999999964
34.65,3.68,Male,Yes,Sun,Dinner,4,3.45,0.22999999999999998,3.45,0.22999999999999998
23.33,5.65,Male,Yes,Sun,Dinner,2,3.2,2.45,3.2,2.45
45.35,3.5,Male,Yes,Sun,Dinner,3,3.69,0.18999999999999995,3.69,0.18999999999999995
23.17,6.5,Male,Yes,Sun,Dinner,4,3.2,3.3,3.2,3.3
40.55,3,Male,Yes,Sun,Dinner,2,3.58,0.5800000000000001,3.58,0.5800000000000001
20.69,5,Male,No,Sun,Dinner,5,3.29,1.71,3.29,1.71
20.9,3.5,Female,Yes,Sun,Dinner,3,3.15,0.3500000000000001,3.15,0.3500000000000001
30.46,2,Male,Yes,Sun,Dinner,5,3.36,1.3599999999999999,3.36,1.3599999999999999
18.15,3.5,Female,Yes,Sun,Dinner,3,3.09,0.41000000000000014,3.09,0.41000000000000014
23.1,4,Male,Yes,Sun,Dinner,3,3.2,0.7999999999999998,3.2,0.7999999999999998
15.69,1.5,Male,Yes,Sun,Dinner,2,3.03,1.5299999999999998,3.03,1.5299999999999998
19.81,4.19,Female,Yes,Thur,Lunch,2,3.02,1.1700000000000004,3.02,1.1700000000000004
28.44,2.56,Male,Yes,Thur,Lunch,2,3.66,1.1,3.66,1.1
15.48,2.02,Male,Yes,Thur,Lunch,2,2.71,0.69,2.71,0.69
16.58,4,Male,Yes,Thur,Lunch,2,2.79,1.21,2.79,1.21
7.56,1.44,Male,No,Thur,Lunch,2,1.25,0.18999999999999995,1.25,0.18999999999999995
10.34,2,Male,Yes,Thur,Lunch,2,2.33,0.33000000000000007,2.33,0.33000000000000007
43.11,5,Female,Yes,Thur,Lunch,4,4.73,0.2699999999999996,4.73,0.2699999999999996
13,2,Female,Yes,Thur,Lunch,2,2.53,0.5299999999999998,2.53,0.5299999999999998
13.51,2,Male,Yes,Thur,Lunch,2,2.56,0.56,2.56,0.56
18.71,4,Male,Yes,Thur,Lunch,3,2.94,1.06,2.94,1.06
12.74,2.01,Female,Yes,Thur,Lunch,2,2.51,0.5,2.51,0.5
13,2,Female,Yes,Thur,Lunch,2,2.53,0.5299999999999998,2.53,0.5299999999999998
16.4,2.5,Female,Yes,Thur,Lunch,2,2.78,0.2799999999999998,2.78,0.2799999999999998
20.53,4,Male,Yes,Thur,Lunch,4,3.08,0.9199999999999999,3.08,0.9199999999999999
16.47,3.23,Female,Yes,Thur,Lunch,3,2.78,0.4500000000000002,2.78,0.4500000000000002
26.59,3.41,Male,Yes,Sat,Dinner,3,3.49,0.08000000000000007,3.49,0.08000000000000007
38.73,3,Male,Yes,Sat,Dinner,4,4.53,1.5300000000000002,4.53,1.5300000000000002
24.27,2.03,Male,Yes,Sat,Dinner,2,3.29,1.2600000000000002,3.29,1.2600000000000002
12.76,2.23,Female,Yes,Sat,Dinner,2,2.3,0.06999999999999984,2.3,0.06999999999999984
30.06,2,Male,Yes,Sat,Dinner,3,3.79,1.79,3.79,1.79
25.89,5.16,Male,Yes,Sat,Dinner,4,3.43,1.73,3.43,1.73
48.33,9,Male,No,Sat,Dinner,4,7.65,1.3499999999999996,7.65,1.3499999999999996
13.27,2.5,Female,Yes,Sat,Dinner,2,2.34,0.16000000000000014,2.34,0.16000000000000014
28.17,6.5,Female,Yes,Sat,Dinner,3,3.62,2.88,3.62,2.88
12.9,1.1,Female,Yes,Sat,Dinner,2,2.31,1.21,2.31,1.21
28.15,3,Male,Yes,Sat,Dinner,5,3.62,0.6200000000000001,3.62,0.6200000000000001
11.59,1.5,Male,Yes,Sat,Dinner,2,2.2,0.7000000000000002,2.2,0.7000000000000002
7.74,1.44,Male,Yes,Sat,Dinner,2,1.87,0.43000000000000016,1.87,0.43000000000000016
30.14,3.09,Female,Yes,Sat,Dinner,4,3.79,0.7000000000000002,3.79,0.7000000000000002
12.16,2.2,Male,Yes,Fri,Lunch,2,2.29,0.08999999999999986,2.29,0.08999999999999986
13.42,3.48,Female,Yes,Fri,Lunch,2,2.41,1.0699999999999998,2.41,1.0699999999999998
8.58,1.92,Male,Yes,Fri,Lunch,1,1.97,0.050000000000000044,1.97,0.050000000000000044
15.98,3,Female,No,Fri,Lunch,3,2.41,0.5899999999999999,2.41,0.5899999999999999
13.42,1.58,Male,Yes,Fri,Lunch,2,2.41,0.8300000000000001,2.41,0.8300000000000001
16.27,2.5,Female,Yes,Fri,Lunch,2,2.66,0.16000000000000014,2.66,0.16000000000000014
10.09,2,Female,Yes,Fri,Lunch,2,2.11,0.10999999999999988,2.11,0.10999999999999988
20.45,3,Male,No,Sat,Dinner,4,3.09,0.08999999999999986,3.09,0.08999999999999986
13.28,2.72,Male,No,Sat,Dinner,2,1.91,0.8100000000000003,1.91,0.8100000000000003
22.12,2.88,Female,Yes,Sat,Dinner,2,3.1,0.2200000000000002,3.1,0.2200000000000002
24.01,2,Male,Yes,Sat,Dinner,4,3.27,1.27,3.27,1.27
15.69,3,Male,Yes,Sat,Dinner,3,2.55,0.4500000000000002,2.55,0.4500000000000002
11.61,3.39,Male,No,Sat,Dinner,2,1.64,1.7500000000000002,1.64,1.7500000000000002
10.77,1.47,Male,No,Sat,Dinner,2,1.5,0.030000000000000027,1.5,0.030000000000000027
15.53,3,Male,Yes,Sat,Dinner,2,2.54,0.45999999999999996,2.54,0.45999999999999996
10.07,1.25,Male,No,Sat,Dinner,2,1.39,0.1399999999999999,1.39,0.1399999999999999
12.6,1,Male,Yes,Sat,Dinner,2,2.29,1.29,2.29,1.29
32.83,1.17,Male,Yes,Sat,Dinner,2,4.03,2.8600000000000003,4.03,2.8600000000000003
35.83,4.67,Female,No,Sat,Dinner,3,5.6,0.9299999999999997,5.6,0.9299999999999997
29.03,5.92,Male,No,Sat,Dinner,3,4.49,1.4299999999999997,4.49,1.4299999999999997
27.18,2,Female,Yes,Sat,Dinner,2,3.54,1.54,3.54,1.54
22.67,2,Male,Yes,Sat,Dinner,2,3.15,1.15,3.15,1.15
17.82,1.75,Male,No,Sat,Dinner,2,2.66,0.9100000000000001,2.66,0.9100000000000001
18.78,3,Female,No,Thur,Dinner,2,2.94,0.06000000000000005,2.94,0.06000000000000005
